ACQUEDOTTO;COMUNE;ETICHETTA
ACQUEDOTTO DE LA LECCIA;CASTELNUOVO VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ015.pdf
ACQUEDOTTO DE LA SASSA;MONTECATINI VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ029.pdf
ACQUEDOTTO DEL GABBRO;ROSIGNANO MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ086.pdf
ACQUEDOTTO DI ACQUABONA;ROSIGNANO MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ090.pdf
ACQUEDOTTO DI BAGNOLI;CASTAGNETO CARDUCCI;http://www.datiopen.it/asa_qualita_acque/ACQ097.pdf
ACQUEDOTTO DI BELVEDERE;ROSIGNANO MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ092.pdf
ACQUEDOTTO DI BELVEDERE-CAMPI AL MARE;CASTAGNETO CARDUCCI;http://www.datiopen.it/asa_qualita_acque/ACQ095.pdf
ACQUEDOTTO DI BELVEDERE-CAMPI AL MARE;CASTAGNETO CARDUCCI;http://www.datiopen.it/asa_qualita_acque/ACQ096.pdf
ACQUEDOTTO DI BIBBONA;BIBBONA;http://www.datiopen.it/asa_qualita_acque/ACQ001.pdf
ACQUEDOTTO DI CAFAGGIO;CAMPIGLIA MARITTIMA;http://www.datiopen.it/asa_qualita_acque/ACQ078.pdf
ACQUEDOTTO DI CAMPO NELL'ELBA-BONALACCIA;CAMPO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ007.pdf
ACQUEDOTTO DI CANNETO;MONTEVERDI MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ076.pdf
ACQUEDOTTO DI CAPRAIA ISOLA;CAPRAIA ISOLA;http://www.datiopen.it/asa_qualita_acque/ACQ011.pdf
ACQUEDOTTO DI CAPRIOLI PIETRICCI-STECCAIA;ROSIGNANO MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ091.pdf
ACQUEDOTTO DI CASALE MARITTIMO;CASALE MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ012.pdf
ACQUEDOTTO DI CASTELLINA MARITTIMA;CASTELLINA MARITTIMA;http://www.datiopen.it/asa_qualita_acque/ACQ014.pdf
ACQUEDOTTO DI CASTELLINA MARITTIMA;CASTELLINA MARITTIMA;http://www.datiopen.it/asa_qualita_acque/ACQ014.pdf
